Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.08919E-7,0.000010892,0.000303876,1,0,0
1.48128E-7,0.000025705,0.000413242,0.999900725,0,0
2.27958E-7,0.000068726,0.000635877,0.999702174,0,0
2.90652E-7,0.000121905,0.000810689,0.999503624,0,0
3.33458E-7,0.000252623,0.000930025,0.999106522,0,0
4.00074E-7,0.0005202,0.001115716,0.998411595,0,0
4.71826E-7,0.001039909,0.001315685,0.997220292,0,0
5.79889E-7,0.002551417,0.001616774,0.994440584,0,0
6.48805E-7,0.005025311,0.001808744,0.990469572,0,0
7.94916E-7,0.010021557,0.002215622,0.983619577,0,0
1.08622E-6,0.02505069,0.003026328,0.967834806,0,0
1.49822E-6,0.050108672,0.004171794,0.948476124,0,0
2.13328E-6,0.100048167,0.005934892,0.921076144,0,0
3.12239E-6,0.200001059,0.008674675,0.883252259,0,0
3.84293E-6,0.300092886,0.010665771,0.85476025,0,0
4.40421E-6,0.400048813,0.012214,0.83073563,0,0
4.9453E-6,0.500404012,0.013704263,0.809391442,0,0
5.42429E-6,0.600448527,0.01502162,0.790231311,0,0
5.90386E-6,0.700342152,0.016338792,0.77275886,0,0
6.11766E-6,0.750256299,0.016925432,0.764519011,0,0
6.30922E-6,0.800602269,0.017450777,0.756477713,0,0
6.78711E-6,0.90010769,0.018760097,0.741387869,0,0
7.23667E-6,1.000296634,0.019990232,0.727191502,0,0
7.64436E-6,1.100033599,0.021104448,0.713888613,0,0
8.11168E-6,1.200746915,0.022380059,0.701181376,0,0
8.6036E-6,1.300100162,0.023721056,0.689367616,0,0
9.0443E-6,1.400001242,0.024920826,0.678149509,0,0
9.59637E-6,1.500656266,0.026421742,0.667427777,0,0
1.07805E-5,1.750337745,0.029633181,0.643105331,0,0.013888889
1.19001E-5,2.000715779,0.032660057,0.621165492,0,0.013888889
1.29888E-5,2.250302682,0.035594138,0.601211159,0.02739726,0.013888889
1.4198E-5,2.500163307,0.038842772,0.582944505,0.02739726,0.013888889
1.52848E-5,2.750616671,0.041753117,0.566067706,0.02739726,0.013888889
1.65468E-5,3.000478271,0.045121444,0.550481485,0.02739726,0.013888889
1.76676E-5,3.251535358,0.048102979,0.535888017,0.02739726,0.013888889
1.87457E-5,3.500598433,0.050962253,0.522287303,0.04109589,0.013888889
2.00443E-5,3.750384634,0.054394843,0.50948079,0.04109589,0.013888889
2.12108E-5,4.001956096,0.057467717,0.497369205,0.04109589,0.027777778
2.25066E-5,4.251209954,0.06086972,0.486051822,0.054794521,0.041666667
2.39884E-5,4.502367686,0.064744619,0.47533009,0.054794521,0.055555556
2.51534E-5,4.751262363,0.067779945,0.465303286,0.054794521,0.055555556
2.65064E-5,5.001896514,0.071292737,0.455673583,0.054794521,0.055555556
2.75929E-5,5.250823167,0.074104144,0.446540256,0.054794521,0.055555556
2.87306E-5,5.501825316,0.077038795,0.437704755,0.054794521,0.055555556
3.00768E-5,5.751583909,0.080499162,0.429266356,0.054794521,0.055555556
3.14668E-5,6.001008801,0.084058721,0.421225057,0.054794521,0.055555556
3.24427E-5,6.250385101,0.086549381,0.413481584,0.054794521,0.069444444
3.38098E-5,6.502197078,0.090027328,0.405936662,0.054794521,0.069444444
3.51877E-5,6.750463174,0.093519147,0.398788841,0.068493151,0.069444444
3.68079E-5,7.002236839,0.097607968,0.391839571,0.068493151,0.069444444
3.82938E-5,7.253462785,0.101341737,0.385188127,0.068493151,0.069444444
3.97875E-5,7.502945706,0.105079429,0.378834508,0.095890411,0.069444444
4.16257E-5,7.751338143,0.109658033,0.372778715,0.095890411,0.069444444
4.30042E-5,8.001045022,0.113076116,0.366921473,0.095890411,0.069444444
4.42322E-5,8.254119647,0.116109942,0.361163506,0.095890411,0.069444444
4.55503E-5,8.501290079,0.119354932,0.355703365,0.095890411,0.069444444
4.67245E-5,8.750203376,0.122235577,0.3503425,0.095890411,0.069444444
4.85519E-5,9.002882019,0.126699841,0.345080909,0.095890411,0.069444444
5.02069E-5,9.250343995,0.130723511,0.340117145,0.095890411,0.069444444
5.17316E-5,9.500088943,0.134413805,0.335252656,0.095890411,0.069444444
5.32864E-5,9.752280127,0.138161171,0.330487442,0.095890411,0.083333333
5.46888E-5,10.000805207,0.141527032,0.325920778,0.095890411,0.083333333
5.62015E-5,10.250248154,0.145142913,0.32145339,0.109589041,0.083333333
5.77366E-5,10.500782,0.148796771,0.317085277,0.109589041,0.083333333
5.9717E-5,10.753622157,0.153487651,0.31281644,0.109589041,0.083333333
6.13612E-5,11.001838518,0.157362441,0.308746153,0.109589041,0.083333333
6.29817E-5,11.250291208,0.161163835,0.304775141,0.109589041,0.083333333
6.4255E-5,11.505095093,0.164139024,0.30080413,0.123287671,0.083333333
6.54404E-5,11.751646855,0.166899079,0.297031669,0.123287671,0.083333333
6.68056E-5,12.003080784,0.170066801,0.293259208,0.123287671,0.083333333
6.83244E-5,12.252554101,0.17357648,0.289586022,0.123287671,0.083333333
6.96881E-5,12.501106285,0.176715095,0.286012112,0.123287671,0.083333333
7.20344E-5,12.755934254,0.182087711,0.282438201,0.123287671,0.083333333
7.35551E-5,13.003246305,0.185550855,0.279062841,0.123287671,0.083333333
7.55322E-5,13.256483458,0.190031709,0.275687481,0.123287671,0.083333333
7.67769E-5,13.500251435,0.192839946,0.272510672,0.123287671,0.083333333
7.83261E-5,13.756287581,0.196321625,0.269234588,0.123287671,0.083333333
7.9605E-5,14.001170817,0.199184335,0.266157054,0.123287671,0.083333333
8.12862E-5,14.250154541,0.202932367,0.26307952,0.123287671,0.083333333
8.23341E-5,14.503517684,0.205259531,0.260001986,0.123287671,0.083333333
8.35186E-5,14.752446487,0.207882023,0.257023727,0.123287671,0.083333333
8.52047E-5,15.005864267,0.211599815,0.254045468,0.123287671,0.097222222
8.67317E-5,15.255600692,0.214952094,0.251166485,0.123287671,0.097222222
