cham_id,date,season,trial,trial_temp,trial_time,cham_temp_i,cham_temp_f,lap_1,lap_2,lap_3,lap_4,lap_5,lap_6,lap_7,lap_8,lap_50_1,lap_50_2,lap_50_3,lap_50_4,lap_50_5,lap_50_6,lap_100_1,lap_100_2,trial successful,notes
FuPa_427,11/22/2020,fall,2,20,18:03,20,21,11.52,2.57,7.02,10.22,2.47,4.35,2.94,2.34,14.09,9.59,17.24,6.82,7.29,5.28,31.33,12.1,Y,
FuPa_496,11/23/2020,fall,1,15,10:15,15,16,7.85,7.75,4.25,5.22,6.13,4.84,4.06,7.38,15.6,12,9.47,10.97,8.9,11.44,25.07,22.41,Y,
FuPa_409,11/23/2020,fall,1,15,10:19,15,16,10.56,9.23,6.23,10.42,5.97,5.02,2.9,4.8,19.79,15.46,16.65,10.99,7.92,7.7,36.44,18.69,Y,
FuPa_470,11/23/2020,fall,1,15,10:23,15,17,17.67,15.57,4.83,5.9,4.19,5.63,7.34,3.53,33.24,20.4,10.73,9.82,12.97,10.87,43.97,20.69,Y,
FuPa_460,11/23/2020,fall,1,20,10:29,20,20,3.49,3.28,3.92,4.02,1.06,3.06,3.3,2.31,6.77,7.2,7.94,4.12,6.36,5.61,14.71,9.73,Y,
FuPa_491,11/23/2020,fall,1,25,10:33,25,25,1.17,1.33,1.01,1.44,1.27,1.22,2.6,2.21,2.5,2.34,2.45,2.49,3.82,4.81,4.95,7.3,Y,
FuPa_478,11/23/2020,fall,1,35,10:35,35,35,2.66,1.59,1.78,4.03,1.58,5.26,2.01,2.25,4.25,3.37,5.81,6.84,7.27,4.26,10.06,11.1,Y,
FuPa_496,11/23/2020,fall,1,25,10:50,25,25,2.46,2.22,1.78,4.69,0.95,1.42,3.05,3.78,4.68,4,6.47,2.37,4.47,6.83,11.15,9.2,Y,
FuPa_498,11/23/2020,fall,1,30,10:55,31,29,4.59,7.71,26.88,3.47,6.34,2.78,4.54,7.23,12.3,34.59,30.35,9.12,7.32,11.77,42.65,20.89,Y,
FuPa_465,11/23/2020,fall,1,35,10:56,35,34,5.91,2.17,1.62,2.26,1.01,2.13,2.49,4.27,8.08,3.79,3.88,3.14,4.62,6.76,11.96,9.9,Y,
FuPa_426,11/23/2020,fall,1,30,11:03,30,30,5.28,2.76,2.43,3.76,4.12,1.85,1.66,1.4,8.04,5.19,6.19,5.97,3.51,3.06,14.23,9.03,Y,
