cham_id,season,sex,mass(g),svl(mm),tail_lgth(mm),full_tail(mm),notes
FuPa_409,Fall,M,99,142,196,Y,
FuPa_426,Fall,F,67,106,129,Y,Gravid
FuPa_427,Fall,M,75,157,197,Y,
FuPa_460,Fall,M,75,155,83,N,
FuPa_465,Fall,M,54,125,153,Y,
FuPa_470,Fall,F,38,126,122,Y,
FuPa_478,Fall,M,30,185,215,Y,
FuPa_491,Fall,M,32,110,141,Y,
FuPa_496,Fall,M,52,127,159,Y,
FuPa_498,Fall,F,30,122,128,Y,
FuPa_426,Winter,F,68,100,138,Y,
FuPa_427,Winter,M,80,125,185,Y,
FuPa_460,Winter,M,80,137,79,N,
FuPa_465,Winter,M,65,111,163,Y,
FuPa_470,Winter,F,39,109,123,Y,
FuPa_478,Winter,M,138,170,214,Y,
FuPa_491,Winter,M,43,104,133,Y,
FuPa_496,Winter,M,71,124,165,Y,
FuPa_409,Summer,M,150,180,214,Y,
FuPa_426,Summer,F,63,136,141,Y,
FuPa_427,Summer,M,79.5,163,211,Y,
FuPa_460,Summer,M,89,158,86,N,
FuPa_465,Summer,M,115,146,176,Y,
FuPa_470,Summer,F,43.5,120,138,Y,
FuPa_478,Summer,M,128.5,177,219,Y,
FuPa_491,Summer,M,32.5,117,159,Y,
